date,vessel_class,tce
2014-01-03,VLCC,40000.0
2014-01-03,SUEZMAX,28000.0
2014-01-10,VLCC,48158.49
2014-01-10,SUEZMAX,22581.96
2014-01-17,VLCC,44688.72
2014-01-17,SUEZMAX,20050.78
2014-01-24,VLCC,41289.98
2014-01-24,SUEZMAX,13242.32
2014-01-31,VLCC,40889.09
2014-01-31,SUEZMAX,19661.33
2014-02-07,VLCC,29760.69
2014-02-07,SUEZMAX,16924.05
2014-02-14,VLCC,29694.06
2014-02-14,SUEZMAX,22943.36
2014-02-21,VLCC,29389.96
2014-02-21,SUEZMAX,27209.34
2014-02-28,VLCC,32699.12
2014-02-28,SUEZMAX,25222.56
2014-03-07,VLCC,31848.99
2014-03-07,SUEZMAX,17622.46
2014-03-14,VLCC,36370.73
2014-03-14,SUEZMAX,16505.88
2014-03-21,VLCC,27465.89
2014-03-21,SUEZMAX,11171.63
2014-03-28,VLCC,24069.2
2014-03-28,SUEZMAX,11549.33
2014-04-04,VLCC,19981.42
2014-04-04,SUEZMAX,8928.07
2014-04-11,VLCC,13823.13
2014-04-11,SUEZMAX,10643.19
2014-04-18,VLCC,15351.81
2014-04-18,SUEZMAX,7218.11
2014-04-25,VLCC,15185.42
2014-04-25,SUEZMAX,5654.63
2014-05-02,VLCC,18736.11
2014-05-02,SUEZMAX,13176.63
2014-05-09,VLCC,17999.24
2014-05-09,SUEZMAX,19997.18
2014-05-16,VLCC,25356.54
2014-05-16,SUEZMAX,15518.75
2014-05-23,VLCC,21207.62
2014-05-23,SUEZMAX,18666.84
2014-05-30,VLCC,23632.51
2014-05-30,SUEZMAX,21048.31
2014-06-06,VLCC,16743.4
2014-06-06,SUEZMAX,27151.77
2014-06-13,VLCC,12877.23
2014-06-13,SUEZMAX,35447.47
2014-06-20,VLCC,14991.97
2014-06-20,SUEZMAX,43599.51
2014-06-27,VLCC,11809.63
2014-06-27,SUEZMAX,45988.69
2014-07-04,VLCC,18150.7
2014-07-04,SUEZMAX,47709.2
2014-07-11,VLCC,21653.41
2014-07-11,SUEZMAX,50608.34
2014-07-18,VLCC,14578.86
2014-07-18,SUEZMAX,48020.83
2014-07-25,VLCC,19466.58
2014-07-25,SUEZMAX,37536.8
2014-08-01,VLCC,22575.43
2014-08-01,SUEZMAX,44190.2
2014-08-08,VLCC,28135.79
2014-08-08,SUEZMAX,41291.13
2014-08-15,VLCC,28619.56
2014-08-15,SUEZMAX,38484.65
2014-08-22,VLCC,35476.16
2014-08-22,SUEZMAX,35638.11
2014-08-29,VLCC,39293.93
2014-08-29,SUEZMAX,32647.06
2014-09-05,VLCC,42284.13
2014-09-05,SUEZMAX,39658.88
2014-09-12,VLCC,48687.13
2014-09-12,SUEZMAX,46387.56
2014-09-19,VLCC,47184.63
2014-09-19,SUEZMAX,49230.58
2014-09-26,VLCC,54383.93
2014-09-26,SUEZMAX,46823.96
2014-10-03,VLCC,44223.27
2014-10-03,SUEZMAX,47245.95
2014-10-10,VLCC,46802.52
2014-10-10,SUEZMAX,49650.8
2014-10-17,VLCC,40422.4
2014-10-17,SUEZMAX,50226.49
2014-10-24,VLCC,32830.86
2014-10-24,SUEZMAX,37264.93
2014-10-31,VLCC,41000.52
2014-10-31,SUEZMAX,36485.33
2014-11-07,VLCC,39135.39
2014-11-07,SUEZMAX,38984.68
2014-11-14,VLCC,40642.94
2014-11-14,SUEZMAX,41526.51
2014-11-21,VLCC,52752.13
2014-11-21,SUEZMAX,45954.44
2014-11-28,VLCC,48664.83
2014-11-28,SUEZMAX,46314.53
2014-12-05,VLCC,57707.83
2014-12-05,SUEZMAX,50936.58
2014-12-12,VLCC,52345.52
2014-12-12,SUEZMAX,55085.72
2014-12-19,VLCC,51628.53
2014-12-19,SUEZMAX,51236.61
2014-12-26,VLCC,46640.28
2014-12-26,SUEZMAX,48065.5
2015-01-02,VLCC,48155.54
2015-01-02,SUEZMAX,51293.74
2015-01-09,VLCC,46417.64
2015-01-09,SUEZMAX,53473.27
2015-01-16,VLCC,43179.7
2015-01-16,SUEZMAX,55067.25
2015-01-23,VLCC,41877.37
2015-01-23,SUEZMAX,53390.01
2015-01-30,VLCC,49790.16
2015-01-30,SUEZMAX,63273.88
2015-02-06,VLCC,61949.17
2015-02-06,SUEZMAX,60883.92
2015-02-13,VLCC,58083.4
2015-02-13,SUEZMAX,61879.63
2015-02-20,VLCC,65122.26
2015-02-20,SUEZMAX,59082.59
2015-02-27,VLCC,58940.54
2015-02-27,SUEZMAX,52805.81
2015-03-06,VLCC,61570.65
2015-03-06,SUEZMAX,46345.21
2015-03-13,VLCC,58868.76
2015-03-13,SUEZMAX,48548.55
2015-03-20,VLCC,59077.08
2015-03-20,SUEZMAX,41566.72
2015-03-27,VLCC,58255.63
2015-03-27,SUEZMAX,41651.17
2015-04-03,VLCC,54823.52
2015-04-03,SUEZMAX,41636.5
2015-04-10,VLCC,41252.99
2015-04-10,SUEZMAX,38108.61
2015-04-17,VLCC,45965.82
2015-04-17,SUEZMAX,41294.19
2015-04-24,VLCC,49147.02
2015-04-24,SUEZMAX,39182.7
2015-05-01,VLCC,56623.34
2015-05-01,SUEZMAX,43264.36
2015-05-08,VLCC,61894.12
2015-05-08,SUEZMAX,37908.58
2015-05-15,VLCC,56609.7
2015-05-15,SUEZMAX,38751.56
2015-05-22,VLCC,52850.95
2015-05-22,SUEZMAX,42950.1
2015-05-29,VLCC,48923.74
2015-05-29,SUEZMAX,42373.64
2015-06-05,VLCC,49987.23
2015-06-05,SUEZMAX,43333.74
2015-06-12,VLCC,37945.77
2015-06-12,SUEZMAX,42812.05
2015-06-19,VLCC,39400.56
2015-06-19,SUEZMAX,53473.03
2015-06-26,VLCC,42897.71
2015-06-26,SUEZMAX,52202.77
2015-07-03,VLCC,38410.17
2015-07-03,SUEZMAX,45276.12
2015-07-10,VLCC,43029.49
2015-07-10,SUEZMAX,49195.57
2015-07-17,VLCC,55654.68
2015-07-17,SUEZMAX,48394.45
2015-07-24,VLCC,57183.56
2015-07-24,SUEZMAX,39448.53
2015-07-31,VLCC,59682.06
2015-07-31,SUEZMAX,33281.34
2015-08-07,VLCC,59910.28
2015-08-07,SUEZMAX,34803.28
2015-08-14,VLCC,49899.77
2015-08-14,SUEZMAX,30562.0
2015-08-21,VLCC,56218.25
2015-08-21,SUEZMAX,38384.24
2015-08-28,VLCC,56163.86
2015-08-28,SUEZMAX,37524.94
2015-09-04,VLCC,59066.79
2015-09-04,SUEZMAX,35249.48
2015-09-11,VLCC,59965.61
2015-09-11,SUEZMAX,37795.52
2015-09-18,VLCC,59525.01
2015-09-18,SUEZMAX,35066.95
2015-09-25,VLCC,57561.75
2015-09-25,SUEZMAX,31928.52
2015-10-02,VLCC,59011.58
2015-10-02,SUEZMAX,27394.59
2015-10-09,VLCC,61548.75
2015-10-09,SUEZMAX,31498.85
2015-10-16,VLCC,65797.99
2015-10-16,SUEZMAX,31642.72
2015-10-23,VLCC,60102.4
2015-10-23,SUEZMAX,29290.77
2015-10-30,VLCC,55716.97
2015-10-30,SUEZMAX,23175.57
2015-11-06,VLCC,51486.13
2015-11-06,SUEZMAX,26531.45
2015-11-13,VLCC,45837.01
2015-11-13,SUEZMAX,20180.42
2015-11-20,VLCC,45810.71
2015-11-20,SUEZMAX,22059.95
2015-11-27,VLCC,45570.44
2015-11-27,SUEZMAX,25372.32
2015-12-04,VLCC,56029.31
2015-12-04,SUEZMAX,24039.67
2015-12-11,VLCC,58100.36
2015-12-11,SUEZMAX,27556.94
2015-12-18,VLCC,48495.3
2015-12-18,SUEZMAX,23304.62
2015-12-25,VLCC,54053.57
2015-12-25,SUEZMAX,21922.04
2016-01-01,VLCC,54916.99
2016-01-01,SUEZMAX,24726.54
2016-01-08,VLCC,54654.7
2016-01-08,SUEZMAX,29378.34
2016-01-15,VLCC,55940.52
2016-01-15,SUEZMAX,27243.36
2016-01-22,VLCC,60867.69
2016-01-22,SUEZMAX,28918.99
2016-01-29,VLCC,56792.5
2016-01-29,SUEZMAX,27238.96
2016-02-05,VLCC,58144.37
2016-02-05,SUEZMAX,23802.12
2016-02-12,VLCC,63007.22
2016-02-12,SUEZMAX,34671.49
2016-02-19,VLCC,66045.22
2016-02-19,SUEZMAX,35454.52
2016-02-26,VLCC,63998.84
2016-02-26,SUEZMAX,34290.05
2016-03-04,VLCC,48895.59
2016-03-04,SUEZMAX,42598.57
2016-03-11,VLCC,42273.15
2016-03-11,SUEZMAX,48919.94
2016-03-18,VLCC,33313.15
2016-03-18,SUEZMAX,44035.16
2016-03-25,VLCC,27987.91
2016-03-25,SUEZMAX,41195.66
2016-04-01,VLCC,38584.76
2016-04-01,SUEZMAX,45576.53
2016-04-08,VLCC,45206.27
2016-04-08,SUEZMAX,47015.15
2016-04-15,VLCC,33474.12
2016-04-15,SUEZMAX,48105.83
2016-04-22,VLCC,36474.3
2016-04-22,SUEZMAX,57766.95
2016-04-29,VLCC,38463.93
2016-04-29,SUEZMAX,57517.07
2016-05-06,VLCC,33360.29
2016-05-06,SUEZMAX,53954.66
2016-05-13,VLCC,37873.2
2016-05-13,SUEZMAX,50925.54
2016-05-20,VLCC,36652.01
2016-05-20,SUEZMAX,46579.28
2016-05-27,VLCC,34703.43
2016-05-27,SUEZMAX,47088.82
2016-06-03,VLCC,45321.8
2016-06-03,SUEZMAX,40140.84
2016-06-10,VLCC,49249.03
2016-06-10,SUEZMAX,37701.99
2016-06-17,VLCC,53065.51
2016-06-17,SUEZMAX,41424.98
2016-06-24,VLCC,50076.77
2016-06-24,SUEZMAX,35909.58
2016-07-01,VLCC,61719.83
2016-07-01,SUEZMAX,33922.56
2016-07-08,VLCC,56914.47
2016-07-08,SUEZMAX,30797.67
2016-07-15,VLCC,63643.03
2016-07-15,SUEZMAX,27960.83
2016-07-22,VLCC,59080.48
2016-07-22,SUEZMAX,32960.54
2016-07-29,VLCC,50627.85
2016-07-29,SUEZMAX,31418.9
2016-08-05,VLCC,49999.4
2016-08-05,SUEZMAX,24796.4
2016-08-12,VLCC,56816.13
2016-08-12,SUEZMAX,17736.5
2016-08-19,VLCC,48974.54
2016-08-19,SUEZMAX,18373.06
2016-08-26,VLCC,45936.21
2016-08-26,SUEZMAX,20794.62
2016-09-02,VLCC,41505.97
2016-09-02,SUEZMAX,16136.94
2016-09-09,VLCC,45244.88
2016-09-09,SUEZMAX,14483.43
2016-09-16,VLCC,45253.63
2016-09-16,SUEZMAX,10449.68
2016-09-23,VLCC,43725.09
2016-09-23,SUEZMAX,14835.83
2016-09-30,VLCC,44430.69
2016-09-30,SUEZMAX,11241.9
2016-10-07,VLCC,47453.95
2016-10-07,SUEZMAX,16691.28
2016-10-14,VLCC,42825.89
2016-10-14,SUEZMAX,10094.79
2016-10-21,VLCC,44696.45
2016-10-21,SUEZMAX,7269.81
2016-10-28,VLCC,46510.53
2016-10-28,SUEZMAX,8335.6
2016-11-04,VLCC,47856.4
2016-11-04,SUEZMAX,9368.48
2016-11-11,VLCC,49119.69
2016-11-11,SUEZMAX,5000.0
2016-11-18,VLCC,56649.22
2016-11-18,SUEZMAX,5000.0
2016-11-25,VLCC,46329.32
2016-11-25,SUEZMAX,5000.0
2016-12-02,VLCC,43786.87
2016-12-02,SUEZMAX,5000.0
2016-12-09,VLCC,25367.81
2016-12-09,SUEZMAX,7437.9
2016-12-16,VLCC,18427.41
2016-12-16,SUEZMAX,8682.7
2016-12-23,VLCC,17641.73
2016-12-23,SUEZMAX,8233.34
2016-12-30,VLCC,7888.79
2016-12-30,SUEZMAX,5656.86
2017-01-06,VLCC,12252.31
2017-01-06,SUEZMAX,7352.54
2017-01-13,VLCC,23451.12
2017-01-13,SUEZMAX,6346.56
2017-01-20,VLCC,25325.56
2017-01-20,SUEZMAX,8895.57
2017-01-27,VLCC,21465.92
2017-01-27,SUEZMAX,14617.53
2017-02-03,VLCC,22181.84
2017-02-03,SUEZMAX,18130.41
2017-02-10,VLCC,28137.75
2017-02-10,SUEZMAX,22063.1
2017-02-17,VLCC,24190.43
2017-02-17,SUEZMAX,22351.1
2017-02-24,VLCC,40812.49
2017-02-24,SUEZMAX,22344.72
2017-03-03,VLCC,24078.85
2017-03-03,SUEZMAX,29257.71
2017-03-10,VLCC,19624.36
2017-03-10,SUEZMAX,31913.31
2017-03-17,VLCC,19603.56
2017-03-17,SUEZMAX,33995.82
2017-03-24,VLCC,26210.8
2017-03-24,SUEZMAX,30022.07
2017-03-31,VLCC,28019.68
2017-03-31,SUEZMAX,31608.68
2017-04-07,VLCC,30659.78
2017-04-07,SUEZMAX,37539.92
2017-04-14,VLCC,34333.13
2017-04-14,SUEZMAX,43996.5
2017-04-21,VLCC,42266.98
2017-04-21,SUEZMAX,49171.16
2017-04-28,VLCC,41687.94
2017-04-28,SUEZMAX,54456.77
2017-05-05,VLCC,38207.59
2017-05-05,SUEZMAX,60966.35
2017-05-12,VLCC,21543.07
2017-05-12,SUEZMAX,57711.96
2017-05-19,VLCC,25864.78
2017-05-19,SUEZMAX,52758.27
2017-05-26,VLCC,32847.44
2017-05-26,SUEZMAX,58201.62
2017-06-02,VLCC,35434.48
2017-06-02,SUEZMAX,61406.79
2017-06-09,VLCC,34264.66
2017-06-09,SUEZMAX,72185.92
2017-06-16,VLCC,44209.55
2017-06-16,SUEZMAX,74058.45
2017-06-23,VLCC,52554.1
2017-06-23,SUEZMAX,69278.38
2017-06-30,VLCC,38740.36
2017-06-30,SUEZMAX,72061.22
2017-07-07,VLCC,38969.04
2017-07-07,SUEZMAX,69748.34
2017-07-14,VLCC,38265.28
2017-07-14,SUEZMAX,59732.59
2017-07-21,VLCC,29352.08
2017-07-21,SUEZMAX,51501.32
2017-07-28,VLCC,27215.09
2017-07-28,SUEZMAX,41489.06
2017-08-04,VLCC,30610.77
2017-08-04,SUEZMAX,38726.88
2017-08-11,VLCC,32981.04
